Word,Count
=,70
the,64
*,49
a,35
is,30
to,29
----------------------------------------------------------------------------------------------------,29
{,28
},26
,25
-,23
of,23
+,22
this,22
and,21
const,20
),20
point,17
real,17
on,16
be,16
oneOverS;,12
///////////////////////,12
/,11
from,11
in,11
are,11
that,10
collision,10
if(,10
object,9
if,9
not,8
<<,8
plane,8
1),8
ray,8
for,8
@todo,8
lunarlady,8
int,8
as,8
name,8
s;,7
more,7
it,7
at,7
line,7
2),7
0),7
//,7
A,7
0,6
Vector,6
"mat(2,",6
convert,6
new,6
give,6
"(mat(0,",6
1.0f,6
meaningful,6
AB,6
==,6
0;,6
time,6
----------------------------------------------------------------,5
return,5
by,5
called,5
theese,5
else,5
void,5
here,5
position,5
draw,5
functions,5
m_x,5
use,5
m_y,5
m_z,5
);,5
t,4
0.5f,4
should,4
pMatrix[1][1],4
case,4
sin,4
"(mat(1,",4
s,4
means,4
can,4
pMatrix[0][0],4
base,4
m_w,4
we,4
AC,4
same,4
script,4
----------------------------------------------------------------------,4
diagonal,4
vector,4
----------------------------------------------------------------------------------------------------------------------------------------,4
/////////////////////////,4
an,4
current,4
pMatrix[2][2],4
do,4
so,4
little,4
A);,4
"mat(1,",4
no,4
have,4
or,4
q1,3
than,3
really,3
he,3
math::vec3,3
names,3
CD,3
impact,3
most,3
used,3
2;,3
vec3,3
returns,3
FMOD::ChannelGroup*,3
table,3
sphere,3
add,3
check,3
break;,3
&&,3
own,3
one,3
q,3
oneOverS,3
n,3
game,3
i,3
D,3
scale,3
closest,3
done,3
The,3
code,3
since,3
has,3
<,3
squareRoot(,3
:,3
using,3
grabbed,3
state,3
todo:,2
frame,2
(perpendicular),2
assert,2
static,2
normal,2
fix,2
q^(-1),2
initial,2
angle,2
passing,2
#define,2
something,2
equality,2
error,2
"""from""",2
number,2
false,2
specific,2
doesn't,2
col,2
but,2
take,2
values,2
parallel,2
significant,2
width,2
bad,2
setting,2
AB);,2
backspace,2
less,2
height,2
display,2
matrices,2
supported,2
all,2
"std::for_each(result.begin(),",2
inequality,2
function,2
rays,2
top,2
"ray,",2
swept,2
------------------,2
real-time,2
speed,2
*axis,2
assignment,2
2006-02-14,2
desiredVelocity,2
other,2
time1,2
low-level,2
"result.end(),",2
@return,2
update,2
0.0f),2
0.0f;,2
after,2
instead,2
bits,2
#undef,2
};,2
up,2
TiXmlElement*,2
math::vec2,2
swizzlers,2
generator,2
"scale,",2
analog,2
methods,2
(AB,2
seed,2
"mat(0,",2
t;,2
q2,2
variable,2
p1,2
logic,2
getters,2
"iOwner,",2
greater,2
linear,2
curve,2
optimized,2
numCharsOnLineSoFar,2
points,2
(real),2
Quaternion,2
"""to""",2
tolower);,2
In,2
setup,2
If,2
interpolation,2
*=,2
(t,2
**,2
operators,2
"(mat(2,",2
lastSpacePos,2
(C,2
setters,2
through,2
m_collisionPoint,2
(B,2
another,2
behind,2
better,2
calculation,2
accessors,2
iElement),2
othogonal,2
numCharsAfterSpace,2
Gets,2
C,2
namespace,2
>,2
quaternions,2
*theta,2
2,2
1,2
constructors,2
unique,2
"""",2
SYSTEM,2
parameters,2
Using,1
Quaternion::fromMatrix3(const,1
ticks,1
"LL_PRINT(mFont,",1
toRelation,1
assert(0,1
"mStates.end(),",1
Component2*,1
Rgba,1
good/valid,1
"Squad(q1,a1,b2,q2;t)",1
q1.m_z);,1
[KNUTH,1
closes,1
"close,",1
"save(""user.cfg"");",1
usually,1
Game,1
http://www.siggraph.org/education/materials/HyperGraph/raytrace/rtinter1.htm,1
"""This",1
iTimeBetweenTicks,1
We're,1
angle;,1
assert(0<=halfAngle);,1
sin(angle);,1
"equal,",1
switch(col),1
sqrt,1
Points,1
INDEX,1
if(numCharsOnLineSoFar,1
Bezier,1
image,1
"error,",1
assert(PI,1
buffer,1
floats,1
sequence,1
Register,1
wrong,1
theta),1
value,1
multi-texturess:,1
previously,1
published,1
(*this);,1
fseek((FILE,1
sgenrand,1
element,1
"rv(q1.m_x,",1
needed,1
ensure,1
minute.),1
handle,1
would,1
some,1
solo,1
&SortSystems::AccordingToPriority);,1
Coding,1
sync,1
assert(theta);,1
readability,1
"mLocation,",1
"case"");",1
array,1
return;,1
------------------------------------------------------------------------------------,1
"addCommand(definition->name,",1
"Slerp(a1,b2;t);",1
initialized,1
shown,1
2)),1
!mIsInitialized,1
pMatrix[3][3]),1
"operators"",",1
Otherwise,1
//Quaternion,1
excluding,1
private:,1
q^(-1);,1
180,1
printf(pStr);,1
normalScaled(m_impactPlane.getNormal());,1
"std::sort(buildSystemFunctions.begin(),",1
pp102],1
1)),1
somwhere,1
"x=0,1",1
words,1
"L""Heart""",1
Later,1
"space,",1
minorlogic,1
trigger,1
0)),1
mVelocity;,1
"L""!""",1
represents,1
poses,1
iLoadedFont;,1
static_cast<int>(strlen(pStr));,1
always,1
Impact,1
collection,1
programming,1
"""custom",1
pMatrix[r][c],1
size,1
instant,1
sits,1
FunctionWrapper(definition->function),1
point-,1
"point,",1
point),1
refers,1
"std::sort(mStates.begin(),",1
2048,1
specified,1
Complete,1
along,1
"pos,",1
"display,",1
mipmaps,1
optimal,1
randomability,1
"interpolated,",1
mt[n],1
years,1
must,1
2.0f,1
tempering,1
let's,1
ComponentObject2&,1
"mat(c,",1
"pStr,",1
mtxu,1
mt[N],1
3.14159265358979323846f;,1
piecewise,1
authors,1
q3(*this);,1
which,1
enter,1
amount,1
send,1
square(m_z));,1
bool,1
"found,",1
seem,1
entry,1
real*,1
reads,1
shouldn't,1
"bkgColor(102/255.0,103/255.0,89/255.0,",1
turned,1
restrict,1
"(A,",1
++numCharsAfterSpace;,1
rework,1
"q1.m_y,",1
formats,1
"impacts,",1
<string>,1
three,1
FontColor(Color::White),1
"B),",1
fromRelation==PR_FRONT,1
RotationComponent2(ComponentObject2&,1
"&entry,",1
wouldn't,1
Fullscreen,1
normally,1
---------------------------------------------------------------------------------------------------------,1
default,1
every,1
debug,1
Pseudorandom,1
halfAngle);,1
gmMachine::RegisterLibrary(gmFunctionEntry,1
save,1
perpendicular,1
++numCharsOnLineSoFar;,1
your,1
axis.z),1
TEST_MATRIX(INDEX),1
"axis.y,",1
"axis.x,",1
getConjugate();,1
"0.50,",1
numCharsAfterSpace;,1
consoleWidth),1
products,1
.getNormalized();,1
"resolution(""resolution"");",1
ed.),1
char,1
"again,",1
tutorial,1
representation,1
each,1
CONVERTCOLORBETWEENRED_HPP,1
0.25f,1
//normalize();,1
computer,1
computed,1
described,1
Art,1
"0.0f,",1
(real-time,1
""""")",1
x*MATRIX_a,1
(frame,1
squareRoot(trace);,1
strLength,1
"a_numFunctions,",1
mTarget;,1
identify,1
mConversationChannel;,1
proposed,1
could,1
-------------------------------------------------------------------------------,1
Mersenne,1
render,1
seems,1
between,1
rv.normalize();,1
reducing,1
"B],",1
q1.q2,1
This,1
ImageLoaded(iDescription);,1
normalScaled;,1
pointer,1
been,1
you,1
result,1
time0,1
TEST_MATRIX(2);,1
alpha);,1
times,1
course,1
processed,1
concept,1
represent,1
TEST_MATRIX(1);,1
resolution.get().height);,1
MessageGraphics::GetInstance().up();,1
length(),1
way,1
"things,",1
"glRotate(theta,",1
iIndex,1
release,1
cmd.empty(),1
temp.scale(p_object.getRadius()+0.001);,1
CPU,1
regular,1
cases,1
halfAngle;,1
cylinderLength,1
PrintWrappedString(char*,1
Existing,1
"course,",1
----------,1
w-r,1
"resolution.get().width,",1
"axis,",1
there,1
Mtsumoto,1
their,1
least,1
two,1
iLength-1,1
try,1
length()));,1
too,1
ImactPoint,1
before,1
rotation,1
http://www.sjbaker.org/steve/omniv/love_your_z_buffer.html,1
delete,1
fullscreen,1
"""Slerp"",",1
rotated,1
gmFunctionEntry,1
"""Dist:",1
mMaxSpeed;,1
asDisplay,1
unit,1
FontColor(Color::Red),1
rv;,1
colum,1
loading,1
"[-V,w]/(V.V+ww)",1
default:,1
"default,",1
math,1
mti=N+1,1
many,1
toMatrix(Matrix&,1
good,1
p_from;,1
iCommand);,1
"negative,",1
pos,1
steering,1
unexplanatory,1
"""Squad"",",1
2t(1-t)),1
(They,1
"std::wstring(L""Recieved:",1
1985,1
referes,1
http://www.faqs.org/faqs/graphics/algorithms-faq/,1
q2;,1
q.w,1
Deg,1
"CONSOLE_MESSAGE(MT_MESSAGE,",1
1.0f;,1
1.0f),1
false;,1
treated,1
"equal(scale,",1
identifiers,1
what,1
iElement);,1
p85-87,1
There,1
glsl,1
"ConsoleMessage(CMT_ECHO,",1
SEEK_SET);,1
close,1
gamedev.net,1
trace>0.0f,1
forcing,1
0.5*math::sin(mTime),1
may,1
mat,1
"equal(1.0f,",1
Quaternion::toAxisAngle(vec3*,1
assert(,1
p_out);,1
being,1
constant,1
getTime();,1
distanceFrom,1
segment,1
mag01[x],1
motivated,1
pMatrix[col][col],1
FontLoaded(iDescriptor);,1
exist,1
LOG(,1
"graphics,",1
"------,",1
private,1
variation,1
anyway,1
"definition->name.c_str(),",1
media,1
"1981],",1
IMPLEMENT,1
(unless,1
acos(m_w);,1
prevent,1
MessageGraphics::GetInstance().down();,1
multiplications,1
dont,1
FontSize(1),1
directory,1
macros,1
mEffectChannel;,1
still,1
Quaternion::rotateVectorAroundOrigin(const,1
"it,",1
"different...exiting!"");",1
(time1-time0),1
popular,1
"a_asTable,",1
occured,1
stored,1
chosen,1
logging,1
(1-t)A,1
halfAngle,1
mtxu;,1
Quaternion::rotateVector(const,1
according,1
last,1
&SortStates::AccordingToPriority);,1
&mtxu);,1
i.e,1
below,1
get,1
"directly,",1
mLocation,1
Programming,1
wristwatch),1
developed,1
notes,1
ISO,1
m_impactPoint-=temp;,1
previous,1
largest,1
few,1
Sequences,1
playing,1
Exit,1
"""lerp"")",1
"twice,",1
end,1
sound,1
p_vector),1
square(m_y),1
std::vec3&,1
public,1
routines,1
with,1
"vec3(0.0f,",1
dot,1
q2(v);,1
squareRoot(square(m_x),1
dist,1
itself,1
math-faq,1
"a_functions,",1
normalised,1
infinite,1
Makoto,1
cos,1
CONVERTCOLORBETWEENGREEN_HPP,1
"Slerp(q1,q2;t)",1
/////////////////,1
come,1
fixed,1
iTickTime;,1
'\n';,1
directly,1
bit,1
doing,1
product,1
"happen,",1
Component2,1
temp(p_plane.getNormal());,1
BuildComponent_(StatesObject2*,1
"move-direction,",1
negative,1
public:,1
unverified,1
test,1
bytes,1
converted,1
"""Max",1
"general,",1
cylinder,1
period,1
"iStateObject,",1
definition->documentation);,1
physical,1
!mIsNetworkGame,1
"Slerp(Slerp(q1,q2;t),",1
simpler,1
lookup,1
class,1
also,1
pMatrix[INDEX][INDEX]),1
length,1
mathfaq,1
"true,",1
"anything,",1
later,1
generate,1
line.getDirection().getLength();,1
ray),1
collided,1
assert(axis);,1
"*)handle,",1
normalScaled.scale(distanceFrom);,1
"DisplayError(""DevIL",1
loop,1
a_newTable),1
afterall,1
originally,1
represented,1
load,1
find,1
lighthouse3d.com,1
//////////////////,1
"Component2(iOwner,",1
Component2(iOwner),1
pending,1
-------------------------------------------------------------------------------------------------------,1
type,1
mLocation).getNormalized(),1
(sometimes,1
Holds,1
member,1
aint,1
things,1
Resolution,1
introduced,1
Could,1
FontSize(,1
axis->normalize();,1
effect,1
v),1
whatsoever,1
tA,1
Ken,1
inspired,1
consoleWidth,1
RotationComponent2,1
r),1
q3,1
Mike,1
takes,1
trace,1
Shoemake's,1
++i),1
p2,1
"execute,",1
CONFIG,1
my,1
"n,",1
"long,",1
(2nd,1
pStr[lastSpacePos],1
"short,",1
loader,1
Nishimura,1
i;,1
go,1
them,1
ca,1
then,1
#include,1
"buildSystemFunctions.end(),",1
true,1
"glViewport(0,",1
CONVERTCOLORBETWEENBLUE_HPP,1
calling,1
source,1
idea,1
"func,",1
early,1
---------------------------------------------------------------------------------,1
PI,1
Of,1
version,1
ME,1
want,1
Language,1
He,1
efficient,1
consider,1
(mTarget,1
TEST_MATRIX,1
>=,1
Vol,1
tick,1
for(int,1
1.0f);,1
2d,1
understand,1
2:,1
25,1
"fastest,",1
1;,1
1:,1
reading,1
"1,",1
rewrite,1
different,1
0:,1
"0,",1
discard,1
FILE,1
+=,1
){,1
enter-messages,1
isn't,1
iType,1
COLOR_HPP,1
"line,",1
fromRelation,1
slerp,1
'),1
"L""Beat""",1
digital,1
"[A,",1
speedup,1
""")",1
"""""",1
!=,1
Collision,1
You,1
mMachine.RegisterLibrary(,1
intersection,1
iIgnore,1
sector,1
where,1
"loader,",1
r,1
rendering,1
p,1
mName,1
touching,1
index,1
mVoiceChannel;,1
if(pStr[i],1
"glGetIntegerv(GL_MAX_TEXTURE_IMAGE_UNITS_ARB,",1
McShaffry,1
DataPointer<Resolution>,1
Takuji,1
Computer,1
4,1
3,1
alternatives,1
vec3&,1
biggest,1
create,1
"rotation,",1
",",1
rotations,1
if(mCanRender),1
Twister,1
',1
vec3(,1
strLength;,1
vector;,1
